Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::as_strided,,,1.46,1.46,0,0,0,0
aten::slice,,,1.34,3.21,0,0,0,0
aten::as_strided,,,1.87,1.87,0,0,0,0
aten::fill_,,,15.01,20.08,0,0,0,0
aclnnInplaceFillScalar,,,5.07,5.07,0,0,0,0
aten::slice,,,1.9,2.9,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::fill_,,,4.09,6.97,0,0,0,0
aclnnInplaceFillScalar,,,2.88,2.88,0,0,0,0
aten::slice,,,1.9,3.09,0,0,0,0
aten::as_strided,,,1.19,1.19,0,0,0,0
aten::slice,,,1.52,2.23,0,0,0,0
aten::as_strided,,,0.71,0.71,0,0,0,0
aten::sub,,,6.65,29.4,0,1.34,0,0
empty_tensor,,,5.06,5.06,0,0,0,0
aclnnSub,,,17.69,17.69,1.34,1.34,0,0
aten::sub,,,4.52,18.28,0,1.2,0,0
empty_tensor,,,2.48,2.48,0,0,0,0
aclnnSub,,,11.28,11.28,1.2,1.2,0,0
aten::select,,,3.38,5.8,0,0,0,0
aten::as_strided,,,2.42,2.42,0,0,0,0
aten::slice,,,2.32,3.92,0,0,0,0
aten::as_strided,,,1.6,1.6,0,0,0,0
aten::copy_,,,19.73,35.41,0,0.58,0,0
aclnnInplaceCopy,,,15.68,15.68,0.58,0.58,0,0
aten::slice,,,2.31,3.35,0,0,0,0
aten::as_strided,,,1.04,1.04,0,0,0,0
aten::slice,,,1.36,2.08,0,0,0,0
aten::as_strided,,,0.72,0.72,0,0,0,0
aten::fill_,,,4.28,7.1,0,0,0,0
aclnnInplaceFillScalar,,,2.82,2.82,0,0,0,0
aten::slice,,,1.9,3.31,0,0,0,0
aten::as_strided,,,1.41,1.41,0,0,0,0
aten::copy_,,,13.86,26.47,0,0.56,0,0
aclnnInplaceCopy,,,12.61,12.61,0.56,0.56,0,0
aten::select,,,2.8,3.88,0,0,0,0
aten::as_strided,,,1.08,1.08,0,0,0,0
aten::slice,,,1.92,2.76,0,0,0,0
aten::as_strided,,,0.84,0.84,0,0,0,0
aten::slice,,,1.3,2.08,0,0,0,0
aten::as_strided,,,0.78,0.78,0,0,0,0
aten::fill_,,,4.97,8.01,0,0,0,0
aclnnInplaceFillTensor,,,3.04,3.04,0,0,0,0
aten::slice,,,2.44,4.0,0,0,0,0
aten::as_strided,,,1.56,1.56,0,0,0,0
aten::slice,,,1.45,2.64,0,0,0,0
aten::as_strided,,,1.19,1.19,0,0,0,0
aten::slice,,,1.26,3.47,0,0,0,0
aten::as_strided,,,2.21,2.21,0,0,0,0
aten::fill_,,,14.23,18.74,0,0,0,0
aclnnInplaceFillScalar,,,4.51,4.51,0,0,0,0
aten::slice,,,1.9,2.96,0,0,0,0
aten::as_strided,,,1.06,1.06,0,0,0,0
aten::fill_,,,3.59,6.34,0,0,0,0
aclnnInplaceFillScalar,,,2.75,2.75,0,0,0,0
aten::slice,,,1.89,2.92,0,0,0,0
aten::as_strided,,,1.03,1.03,0,0,0,0
aten::slice,,,1.47,2.15,0,0,0,0
aten::as_strided,,,0.68,0.68,0,0,0,0
aten::sub,,,6.61,28.21,0,1.64,0,0
empty_tensor,,,5.08,5.08,0,0,0,0
aclnnSub,,,16.52,16.52,1.64,1.64,0,0
aten::sub,,,4.77,17.84,0,1.52,0,0
empty_tensor,,,2.54,2.54,0,0,0,0
aclnnSub,,,10.53,10.53,1.52,1.52,0,0
aten::select,,,3.24,5.81,0,0,0,0
aten::as_strided,,,2.57,2.57,0,0,0,0
aten::slice,,,2.4,4.39,0,0,0,0
aten::as_strided,,,1.99,1.99,0,0,0,0
aten::copy_,,,19.05,34.21,0,0.58,0,0
aclnnInplaceCopy,,,15.16,15.16,0.58,0.58,0,0
aten::slice,,,2.38,3.38,0,0,0,0
aten::as_strided,,,1.0,1.0,0,0,0,0
aten::slice,,,1.39,2.08,0,0,0,0
aten::as_strided,,,0.69,0.69,0,0,0,0
aten::fill_,,,4.34,7.26,0,0,0,0
aclnnInplaceFillScalar,,,2.92,2.92,0,0,0,0
aten::slice,,,2.21,3.54,0,0,0,0
aten::as_strided,,,1.33,1.33,0,0,0,0
aten::copy_,,,13.91,26.83,0,0.56,0,0
aclnnInplaceCopy,,,12.92,12.92,0.56,0.56,0,0
aten::select,,,2.57,3.52,0,0,0,0
aten::as_strided,,,0.95,0.95,0,0,0,0
aten::slice,,,1.79,5.17,0,0,0,0
